0.00, -20.00,
0.64, -16.73,
0.00, -28.00,
0.00, -28.00,
0.64, -15.00,
0.55, -19.55,
0.55, -18.18,
0.00, -31.00,
0.00, -20.00,
0.00, -20.00,
0.00, -20.00,
0.45, -20.82,
0.00, -20.00,
0.36, -21.91,
0.18, -29.27,
0.09, -19.64,
0.00, -20.00,
0.27, -30.36,
0.09, -31.82,
0.00, -20.00,
0.00, -20.00,
0.00, -20.00,
0.00, -20.00,
0.00, -21.64,
0.00, -20.00,
0.00, -29.91,
0.00, -29.27,
0.00, -20.00,
0.00, -20.00,
0.09, -21.18,
0.27, -23.27,
0.64, -14.64,
0.00, -20.00,
0.00, -20.00,
0.09, -19.09,
0.27, -18.00,
0.09, -19.09,
0.09, -19.00,
0.09, -26.45,
0.18, -26.09,
0.36, -21.00,
0.09, -18.91,
0.45, -14.82,
0.09, -18.73,
0.00, -20.00,
0.00, -20.00,
0.00, -20.00,
0.00, -20.00,
0.18, -24.91,
0.36, -18.45,
0.00, -24.91,
0.27, -25.00,
0.09, -28.55,
0.09, -21.73,
0.18, -27.91,
0.00, -20.00,
0.45, -17.09,
0.55, -17.64,
0.27, -16.27,
0.36, -17.91,
0.45, -17.36,
0.36, -20.45,
0.18, -18.55,
0.36, -18.45,
0.18, -18.45,
0.00, -21.18,
0.09, -21.73,
0.09, -20.73,
0.09, -23.18,
0.09, -21.27,
0.27, -17.18,
0.36, -16.82,
0.09, -20.55,
0.27, -19.00,
0.18, -17.18,
0.00, -22.73,
0.09, -22.91,
0.18, -17.27,
0.18, -17.82,
0.45, -13.09,
0.27, -15.64,
0.18, -18.27,
0.18, -18.64,
0.45, -13.91,
0.00, -20.00,
0.55, -15.18,
0.27, -22.27,
0.27, -17.45,
0.09, -20.55,
0.18, -17.55,
0.18, -17.27,
0.09, -21.55,
0.18, -17.18,
0.64, -13.82,
0.36, -14.45,
0.00, -20.00,
0.27, -16.64,
0.09, -20.27,
0.27, -17.55,
0.55, -16.09,
0.27, -17.00,
0.36, -14.82,
0.45, -18.27,
0.36, -16.27,
0.55, -12.55,
0.09, -22.27,
0.18, -17.27,
0.45, -15.36,
0.18, -19.00,
0.36, -16.82,
0.27, -15.91,
0.45, -16.45,
0.27, -16.36,
0.18, -21.27,
0.45, -17.55,
0.45, -14.73,
0.18, -18.91,
0.27, -18.45,
0.45, -17.91,
0.18, -18.09,
0.18, -17.55,
0.18, -23.18,
0.27, -17.64,
0.45, -15.55,
0.55, -12.91,
0.55, -12.36,
0.36, -15.55,
0.18, -21.09,
0.36, -16.27,
0.36, -18.45,
0.45, -18.82,
0.27, -25.45,
0.27, -23.55,
0.55, -15.73,
0.36, -18.82,
0.45, -13.91,
0.36, -16.09,
0.64, -11.18,
0.55, -13.18,
0.45, -13.91,
0.27, -15.82,
0.36, -15.00,
0.64, -13.73,
0.09, -28.73,
0.36, -17.45,
0.45, -17.91,
0.73, -12.00,
0.55, -13.82,
0.55, -16.00,
0.45, -15.82,
0.27, -23.09,
0.64, -11.45,
0.64, -11.45,
0.18, -17.55,
0.45, -13.09,
0.91, -8.55,
0.27, -16.27,
0.55, -13.36,
0.27, -16.09,
0.45, -14.36,
0.64, -11.00,
0.73, -11.09,
0.45, -17.36,
0.82, -8.09,
0.82, -9.64,
0.82, -8.27,
0.73, -10.36,
0.55, -12.09,
0.64, -10.36,
0.82, -8.55,
0.73, -11.18,
0.64, -10.82,
0.73, -10.36,
0.55, -12.27,
0.82, -8.91,
1.00, -6.00,
0.82, -7.82,
0.55, -11.18,
0.91, -6.82,
0.91, -6.55,
0.82, -8.55,
0.64, -10.64,
0.45, -13.45,
1.00, -5.91,
0.45, -16.73,
1.00, -5.91,
0.18, -19.64,
0.18, -18.91,
0.18, -21.91,
0.73, -10.91,
0.73, -13.82,
0.82, -8.64,
0.82, -7.55,
0.73, -9.73,
1.00, -6.00,
0.91, -7.55,
0.27, -17.09,
0.73, -9.64,
1.00, -5.64,
1.00, -5.55,
0.55, -16.09,
0.64, -10.73,
1.00, -5.82,
0.82, -8.27,
1.00, -6.09,
1.00, -6.36,
1.00, -5.36,
0.82, -10.18,
1.00, -6.18,
1.00, -6.64,
1.00, -5.73,
1.00, -5.64,
